ID,単元名,問題,解答
1,人類の誕生と古代文明,猿人の次に現れ、火や言葉を使い始めた人類を何というか。,原人
2,人類の誕生と古代文明,人類が農耕や牧畜を始め、食料を生産するようになった時代を何というか。,新石器時代
3,人類の誕生と古代文明,約700万年〜600万年前にアフリカに現れた、最古の人類を何というか。,猿人
4,人類の誕生と古代文明,旧石器時代に使われていた、石を打ち欠いて作った石器を何というか。,打製石器
5,人類の誕生と古代文明,現在の人類の直接の祖先にあたる、約20万年前に現れた人類を何というか。,新人（ホモ・サピエンス）
6,人類の誕生と古代文明,約1万年前に氷河時代が終わった後に使われ始めた、表面を磨いた石器を何というか。,磨製石器
7,人類の誕生と古代文明,日本の旧石器時代、人々はどのような動物を追って移動していたか。,マンモス、ナウマンゾウ、オオツノジカ
8,人類の誕生と古代文明,4世紀にローマ帝国が東西に分裂した後、東ローマ帝国は何と呼ばれるようになったか。,ビザンツ帝国
9,人類の誕生と古代文明,7世紀初めに隋が滅んだ後、中国を統一し、律令制度を整備した王朝は。,唐
10,人類の誕生と古代文明,ナイル川の流域で起こり、ピラミッドや象形文字を生み出した文明は何か。,エジプト文明
11,人類の誕生と古代文明,チグリス川・ユーフラテス川の流域で起こり、くさび形文字や60進法を生み出した文明は何か。,メソポタミア文明
12,人類の誕生と古代文明,インダス川の流域で起こり、モヘンジョ・ダロなどの都市遺跡を残した文明は何か。,インダス文明
13,人類の誕生と古代文明,黄河の流域で起こり、現在確認されている中国最古の王朝「殷」などが興った文明は何か。,中国文明
14,人類の誕生と古代文明,殷の時代に使われた、漢字の基となった文字を何というか。,甲骨文字
15,人類の誕生と古代文明,エジプト文明で発明された、1年を365日とする暦は何か。,太陽暦
16,人類の誕生と古代文明,メソポタミア文明で発明された、月の満ち欠けに基づく暦は何か。,太陰暦
17,縄文・弥生・古墳時代,約1万年前に氷河時代が終わり日本列島ができた頃、使われ始めた表面に縄目の文様がある土器は何か。,縄文土器
18,縄文・弥生・古墳時代,群馬県の岩宿遺跡で打製石器を発見し、日本に旧石器時代があったことを証明した出来事に関連する遺跡名は。,岩宿遺跡
19,縄文・弥生・古墳時代,縄文時代の人々が住居としていた、地面を掘り下げて柱を立てた住居を何というか。,たて穴住居
20,縄文・弥生・古墳時代,縄文時代の人々が食べ終わった貝殻や魚の骨などを捨てた場所を何というか。,貝塚
21,縄文・弥生・古墳時代,縄文時代に魔除けや豊かな生産を祈るために作られた、土製の人形を何というか。,土偶
22,縄文・弥生・古墳時代,青森県にある、縄文時代の大規模な集落遺跡（建物跡などが復元されている）は何か。,三内丸山遺跡
23,縄文・弥生・古墳時代,紀元前4世紀ごろに大陸から伝わり、日本人の生活を大きく変えた農業技術は何か。,稲作
24,縄文・弥生・古墳時代,弥生時代に使われた、薄手でかたく赤褐色の土器を何というか。,弥生土器
25,縄文・弥生・古墳時代,弥生時代に収穫した稲を貯蔵するために作られた、床を高くした建物を何というか。,高床倉庫
26,縄文・弥生・古墳時代,1世紀半ばに漢（後漢）に使いを送り、「漢委奴国王」の金印を授かった日本の国はどこか。,奴国
27,縄文・弥生・古墳時代,3世紀に邪馬台国を治め、魏に使いを送って「親魏倭王」の称号を得た女王は誰か。,卑弥呼
